Title                                                                                                   ,Budget    ,Revenue   ,Runtime,Rated  ,Genre      ,Actors,Language              ,Country                         ,Metascore,imdbRating,imdbVotes,Production                                      ,Year of Release,ReleasedOutsideUSA,Number of Awards,Genre_cat,Language_cat,Rated_cat,Country_cat,Production_cat
Avengers: Endgame                                                                                       ,356000000 ,2797800564,181.0  ,PG-13  ,Action     ,3     ,English               ,USA                             ,78       ,8.5       ,589503   ,Marvel Studios                                  ,2019           ,0                 ,0               ,0        ,16          ,3        ,75         ,569
Avatar                                                                                                  ,237000000 ,2787965087,162.0  ,PG-13  ,Action     ,0     ,English               ,USA                             ,83       ,7.8       ,1064516  ,20th Century Fox                                ,2009           ,0                 ,0               ,0        ,16          ,3        ,75         ,3
Star Wars: The Force Awakens                                                                            ,245000000 ,2068223624,136.0  ,Unrated,News       ,0     ,English               ,USA                             ,0        ,6.0       ,8        ,Others                                          ,2015           ,0                 ,0               ,17       ,16          ,5        ,75         ,666
Avengers: Infinity War                                                                                  ,300000000 ,2046239637,149.0  ,PG-13  ,Action     ,3     ,English               ,USA                             ,68       ,8.5       ,717106   ,Walt Disney Pictures                            ,2018           ,0                 ,0               ,0        ,16          ,3        ,75         ,1023
Titanic                                                                                                 ,200000000 ,1845034188,194.0  ,PG-13  ,Drama      ,2     ,English               ,USA                             ,75       ,7.8       ,978848   ,Paramount Pictures                              ,1997           ,0                 ,2               ,8        ,16          ,3        ,75         ,685
Jurassic World                                                                                          ,150000000 ,1671713208,124.0  ,PG-13  ,Action     ,0     ,English               ,USA                             ,59       ,7.0       ,549286   ,Universal Pictures                              ,2015           ,0                 ,0               ,0        ,16          ,3        ,75         ,978
The Lion King                                                                                           ,260000000 ,1649676757,118.0  ,G      ,Animation  ,0     ,English               ,USA                             ,88       ,8.5       ,869323   ,Buena Vista                                     ,2019           ,0                 ,0               ,3        ,16          ,0        ,75         ,147
The Avengers                                                                                            ,220000000 ,1519557910,143.0  ,PG-13  ,Action     ,3     ,English               ,USA                             ,69       ,8.0       ,1204899  ,Walt Disney Pictures                            ,2012           ,0                 ,0               ,0        ,16          ,3        ,75         ,1023
Furious 7                                                                                               ,190000000 ,1506249360,137.0  ,PG-13  ,Action     ,0     ,English               ,USA                             ,67       ,7.2       ,341279   ,Universal Pictures                              ,2015           ,1                 ,0               ,0        ,16          ,3        ,75         ,978
Avengers: Age of Ultron                                                                                 ,280000000 ,1405403694,141.0  ,PG-13  ,Action     ,3     ,English               ,USA                             ,66       ,7.3       ,685405   ,Walt Disney Pictures                            ,2015           ,0                 ,0               ,0        ,16          ,3        ,75         ,1023
Black Panther                                                                                           ,200000000 ,1346739107,134.0  ,PG-13  ,Action     ,0     ,English               ,USA                             ,88       ,7.3       ,545565   ,Marvel Studios                                  ,2018           ,0                 ,0               ,0        ,16          ,3        ,75         ,569
Harry Potter and the Deathly Hallows: Part 2                                                            ,125000000 ,1342000000,130.0  ,PG-13  ,Adventure  ,0     ,English               ,USA                             ,87       ,8.1       ,704107   ,Warner Bros. Pictures                           ,2011           ,1                 ,0               ,2        ,16          ,3        ,75         ,1032
Star Wars: The Last Jedi                                                                                ,200000000 ,1332459537,152.0  ,Unrated,Short      ,0     ,English               ,USA                             ,0        ,8.3       ,87       ,Others                                          ,2017           ,0                 ,0               ,21       ,16          ,5        ,75         ,666
Jurassic World: Fallen Kingdom                                                                          ,170000000 ,1303459585,129.0  ,PG-13  ,Action     ,0     ,English               ,USA                             ,51       ,6.2       ,231869   ,Universal Pictures                              ,2018           ,0                 ,0               ,0        ,16          ,3        ,75         ,978
Frozen                                                                                                  ,150000000 ,1274219009,102.0  ,PG     ,Animation  ,0     ,English               ,USA                             ,74       ,7.5       ,527763   ,Walt Disney Pictures                            ,2013           ,0                 ,0               ,3        ,16          ,2        ,75         ,1023
Beauty and the Beast                                                                                    ,160000000 ,1263521126,129.0  ,G      ,Animation  ,0     ,English               ,USA                             ,95       ,8.0       ,396910   ,Buena Vista                                     ,2017           ,0                 ,0               ,3        ,16          ,0        ,75         ,147
Incredibles 2                                                                                           ,200000000 ,1241891456,118.0  ,PG     ,Animation  ,0     ,English               ,USA                             ,80       ,7.7       ,217708   ,Disney/Pixar                                    ,2018           ,0                 ,0               ,3        ,16          ,2        ,75         ,250
The Fate of the Furious                                                                                 ,250000000 ,1238764765,136.0  ,PG-13  ,Action     ,0     ,English               ,China                           ,56       ,6.7       ,187533   ,Universal Pictures                              ,2017           ,1                 ,0               ,0        ,16          ,3        ,10         ,978
Iron Man 3                                                                                              ,200000000 ,1215439994,131.0  ,PG-13  ,Action     ,1     ,English               ,USA                             ,62       ,7.2       ,710178   ,Walt Disney Pictures                            ,2013           ,0                 ,0               ,0        ,16          ,3        ,75         ,1023
Minions                                                                                                 ,74000000  ,1156730962,91.0   ,PG     ,Animation  ,0     ,English               ,USA                             ,56       ,6.4       ,198725   ,Universal Pictures                              ,2015           ,0                 ,0               ,3        ,16          ,2        ,75         ,978
