Title,Budget,Revenue,Runtime,Rated,Genre,Actors,Language,Country,Awards,Metascore,imdbRating,imdbVotes,Production,Year
Avengers: Endgame,356000000,2797800564,181,PG-13,"Action, Adventure, Sci-Fi",3,"English, Japanese, Xhosa","USA, UK, Canada",None,78.0,8.6,561813,Marvel Studios,2019
Avatar,237000000,2787965087,162,PG-13,"Action, Adventure, Fantasy, Sci-Fi",0,"English, Spanish",USA,Won 3 Oscars. Another 85 wins & 128 nominations.,83.0,7.8,1059860,20th Century Fox,2009
Star Wars: The Force Awakens,245000000,2068223624,136,Unrated,News,0,English,USA,None,40.0,6.0,8,Others,2015
Avengers: Infinity War,300000000,2046239637,149,PG-13,"Action, Adventure, Sci-Fi",3,English,USA,None,68.0,8.5,717106,Walt Disney Pictures,2018
Titanic,200000000,1845034188,194,PG-13,"Drama, Romance",2,"English, Swedish, Italian",USA,Won 11 Oscars. Another 111 wins & 77 nominations.,75.0,7.8,973565,Paramount Pictures,1997
Jurassic World,150000000,1671713208,124,PG-13,"Action, Adventure, Sci-Fi",0,English,USA,14 wins & 57 nominations.,59.0,7.0,547323,Universal Pictures,2015
The Lion King,260000000,1649676757,118,G,"Animation, Adventure, Drama, Family, Musical",0,"English, Swahili, Xhosa, Zulu",USA,Won 2 Oscars. Another 33 wins & 29 nominations.,88.0,8.5,862735,Buena Vista,2019
The Avengers,220000000,1519557910,143,PG-13,"Action, Adventure, Sci-Fi",3,"English, Russian, Hindi",USA,Nominated for 1 Oscar. Another 38 wins & 79 nominations.,69.0,8.0,1200683,Walt Disney Pictures,2012
Furious 7,190000000,1506249360,137,PG-13,"Action, Adventure, Thriller",0,"English, Thai, Arabic, Spanish","USA, China, Japan, Canada, United Arab Emirates",Nominated for 1 Golden Globe. Another 28 wins & 31 nominations.,67.0,7.2,340252,Universal Pictures,2015
Avengers: Age of Ultron,280000000,1405403694,141,PG-13,"Action, Adventure, Sci-Fi",3,"English, Korean",USA,7 wins & 45 nominations.,66.0,7.3,685405,Walt Disney Pictures,2015
Black Panther,200000000,1346739107,134,PG-13,"Action, Adventure, Sci-Fi",0,"English, Swahili, Nama, Xhosa, Korean",USA,14 nominations.,88.0,7.3,545565,Marvel Studios,2018
Harry Potter and the Deathly Hallows: Part 2,125000000,1342000000,130,PG-13,"Adventure, Drama, Fantasy, Mystery",0,English,"USA, UK",Nominated for 3 Oscars. Another 45 wins & 91 nominations.,87.0,8.1,704107,Warner Bros. Pictures,2011
Star Wars: The Last Jedi,200000000,1332459537,152,PG-13,"Action, Adventure, Fantasy, Sci-Fi",0,English,USA,Nominated for 4 Oscars. Another 12 wins & 71 nominations.,85.0,7.1,476677,Walt Disney Pictures,2017
Jurassic World: Fallen Kingdom,170000000,1303459585,129,PG-13,"Action, Adventure, Sci-Fi",0,"English, Russian",USA,None,51.0,6.2,229305,Universal Pictures,2018
Frozen,150000000,1274219009,102,PG,"Animation, Adventure, Comedy, Family, Fantasy, Musical",0,"English, Norwegian",USA,Won 2 Oscars. Another 77 wins & 57 nominations.,74.0,7.5,525344,Walt Disney Pictures,2013
Beauty and the Beast,160000000,1263521126,129,G,"Animation, Family, Fantasy, Musical, Romance",0,"English, French",USA,Won 2 Oscars. Another 24 wins & 25 nominations.,95.0,8.0,396910,Buena Vista,2017
Incredibles 2,200000000,1241891456,118,PG,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",0,English,USA,None,80.0,7.7,215257,Disney/Pixar,2018
The Fate of the Furious,250000000,1238764765,136,PG-13,"Action, Adventure, Thriller",0,"English, Russian","China, USA, Japan",1 win & 9 nominations.,56.0,6.7,186304,Universal Pictures,2017
Iron Man 3,200000000,1215439994,131,PG-13,"Action, Adventure, Sci-Fi",1,English,USA,Nominated for 1 Oscar. Another 17 wins & 61 nominations.,62.0,7.2,706865,Walt Disney Pictures,2013
Minions,74000000,1156730962,91,PG,"Animation, Adventure, Comedy, Family, Sci-Fi",0,"English, Spanish",USA,Nominated for 1 BAFTA Film Award. Another 4 wins & 24 nominations.,56.0,6.4,197765,Universal Pictures,2015
